26	株式会社遠鉄ストア　フードワン南浅田店	中区南浅田2-13-1	053-444-5511	　	　	　
27	株式会社遠鉄ストア　フードワン泉店	中区泉4-12-1	053-412-7211	　	　	　
28	株式会社遠鉄ストア　三ヶ日店	北区三ヶ日町三ヶ日110	053-524-4511	　	　	　
29	株式会社遠鉄ストア　高林店	中区高林1-5-20	053-416-4111	　	　	　
30	チカコ'ズコレクション	中区田町229-13　カギヤビル1階	053-456-1249	　	　	　
31	浜松駅ビル　メイワン	浜松市中区砂山町6-1	053-457-4111	不定休	　	　
32	浜松馬込郵便局	浜松市中区中央1丁目18番1号	053-452-9916	土・日・祝日	　	　
33	浜松鴨江郵便局	浜松市中区鴨江町１５番地	053-452-9817	土・日・祝日	　	　
34	浜松中沢郵便局	浜松市中区中沢町１７番１７号	053-471-9831	土・日・祝日	　	　
35	浜松成子郵便局	浜松市中区成子町７３番地	053-452-9834	土・日・祝日	　	　
36	浜松海老塚郵便局	浜松市中区上浅田２丁目３番地の７	053-452-9819	土・日・祝日	　	　
37	浜松北寺島郵便局	浜松市中区北寺島町２０９番地の１	053-452-9816	土・日・祝日	　	　
38	浜松元目郵便局	浜松市中区元目町１２０番地の８	053-471-9837	土・日・祝日	　	　
39	浜松連尺郵便局	浜松市中区連尺町３０９番地の１４	053-452-9835	土・日・祝日	　	　
40	浜松竜禅寺郵便局	浜松市中区竜禅寺町８０３番地の３	053-452-9913	土・日・祝日	　	　
41	浜松砂山郵便局	浜松市中区砂山町３５６番地の１６	053-452-9833	土・日・祝日	　	　
42	浜松秋葉坂下郵便局	浜松市中区三組町４５番地の４	053-453-4236	土・日・祝日	　	　
43	浜松浅田郵便局	浜松市中区西浅田２丁目６番２３号	053-441-4925	土・日・祝日	　	　
44	浜松アクトシティ内郵便局	浜松市中区板屋町１１１番地の２	053-451-0023	土・日・祝日	　	　
45	イオン浜松市野店	浜松市東区天王町字諏訪1981-3	053-468-1600	年中無休	朝7時から営業・店内各所にベンチ設置	　
46	イオン浜松西店	浜松市西区入野町6244-1	053-449-2611	年中無休	朝7時から営業・店内各所にベンチ設置	　
47	イオン志都呂店	浜松市西区志都呂町5606	053-415-1100	年中無休	朝7時から営業・店内各所にベンチ設置	　
48	寿司割烹　絆	浜松市中区城北1-26-18	053-476-2002	水曜定休	　	　
49	はんの貫永堂	浜松市中区田町315-32	053-453-5947	不定休	　	　
50	オークラアクトシティホテル浜松	浜松市中区板屋町111-2	053-459-0742	無休	２階中国料理店での冷やしそば販売	　
51	笠井屋	浜松市中区田町315-34	053-453-3967	水曜日	椅子設置・冷たいおしぼり・冷水等のサービス	　
52	BOOKアマノ三方原店	浜松市北区三方原町1950-1	053-420-1711	年中無休	椅子設置・キッズコーナー有	　
53	BOOKアマノ入野店	浜松市西区入野町6491-3	053-445-2323	年中無休	椅子設置・キッズコーナー有	　
54	BOOKアマノアクト北店	浜松市中区中央3-1-23	053-450-5511	年中無休	椅子設置・キッズコーナー有	　
55	BOOKアマノ有玉店	浜松市東区有玉北町768	053-434-9373	年中無休	椅子設置・キッズコーナー有	　
56	BOOKアマノ高丘店	浜松市中区高丘北2-12-10	053-439-7223	年中無休	椅子設置・キッズコーナー有	　
57	インド料理ラクシュミ	浜松市中区上島2-1-1	090-9276-6901	無休	ランチタイムの11時から15時はマンゴラッシー500円を300円でアイスチャイ400円を200円で提供します。
ドリンクだけの利用もOK	
